Region,Sales,Quarter
South,15735,Q3
North,32288,Q4
North,41689,Q2
South,28781,Q3
West,22695,Q4
East,32341,Q1
East,45767,Q1
East,22111,Q4
West,33093,Q3
South,47011,Q3
East,23152,Q2
South,44285,Q4
West,33305,Q2
South,12920,Q4
South,41211,Q2
South,31455,Q4
West,21961,Q2
West,44716,Q3
South,40217,Q4
South,29277,Q1
East,42086,Q2
South,22563,Q4
West,21136,Q4
East,48804,Q2
South,34569,Q2
East,21282,Q4
West,13442,Q4
North,36709,Q3
North,26761,Q2
West,14246,Q3
North,45623,Q2
North,26580,Q1
West,47876,Q1
South,40746,Q1
East,26212,Q2
West,33613,Q2
East,45509,Q3
South,41366,Q3
West,35762,Q4
North,44576,Q2
North,11437,Q3
North,44762,Q3
South,33427,Q2
East,23959,Q1
East,35862,Q1
West,45104,Q3
North,39138,Q2
South,36442,Q3
North,39711,Q4
East,17244,Q4
West,49735,Q3
East,31148,Q1
West,31627,Q2
South,27877,Q3
East,30611,Q4
West,34245,Q3
East,33348,Q4
South,20608,Q4
East,13194,Q1
West,29044,Q4
East,16452,Q4
East,10562,Q1
East,49077,Q4
South,16312,Q4
South,19672,Q1
West,20827,Q2
West,36100,Q4
South,25355,Q3
East,26453,Q3
West,21654,Q2
West,28341,Q3
North,44005,Q2
North,48269,Q3
West,18822,Q1
West,46503,Q4
West,27718,Q2
North,41858,Q4
East,23512,Q1
South,46795,Q2
North,29507,Q3
East,23580,Q4
West,35854,Q1
South,17771,Q4
West,28740,Q3
East,35846,Q3
North,47559,Q3
East,33317,Q2
West,11983,Q1
West,20048,Q4
North,38781,Q3
North,13392,Q3
South,39935,Q1
South,37601,Q4
South,28768,Q4
North,20413,Q3
West,44240,Q3
South,20955,Q3
North,15365,Q3
East,43300,Q3
West,25112,Q2
East,18173,Q3
South,43999,Q3
East,17325,Q1
North,15561,Q3
East,39188,Q2
North,39191,Q4
East,33249,Q3
West,19800,Q1
West,41199,Q4
South,35568,Q3
East,41553,Q2
South,17707,Q4
West,49501,Q2
West,36636,Q3
North,19398,Q2
South,11919,Q3
South,11403,Q2
East,38177,Q1
West,10329,Q4
North,41053,Q3
South,37365,Q4
North,32300,Q3
North,41776,Q3
East,12802,Q2
South,12376,Q4
South,38734,Q4
West,30573,Q4
South,32381,Q1
South,16492,Q2
North,23697,Q3
North,34645,Q4
West,29184,Q1
East,30519,Q1
North,36675,Q3
West,12299,Q4
West,31163,Q3
South,17883,Q2
North,40573,Q3
North,37455,Q1
North,15886,Q1
West,41740,Q1
West,29526,Q2
East,11395,Q2
West,25640,Q2
South,44714,Q2
North,46898,Q2
West,10011,Q2
East,38492,Q3
West,41605,Q1
North,45730,Q3
East,48907,Q2
East,17259,Q2
South,22099,Q2
East,10890,Q3
South,36857,Q4
West,17880,Q3
East,38592,Q1
South,23557,Q2
West,43493,Q2
North,30048,Q3
North,44258,Q2
West,28471,Q3
West,34913,Q2
West,24819,Q4
West,20424,Q2
West,40981,Q4
East,32534,Q4
North,33543,Q4
West,16581,Q3
North,29744,Q2
North,10015,Q2
East,32134,Q3
East,25099,Q4
East,45865,Q2
West,14386,Q4
South,33074,Q1
North,41858,Q2
South,48609,Q4
West,18925,Q3
East,45951,Q3
North,41759,Q3
South,13961,Q3
West,34874,Q4
West,21532,Q2
East,13095,Q2
North,36368,Q1
North,22784,Q3
South,42882,Q1
West,13774,Q3
North,49009,Q1
West,15212,Q2
South,42260,Q2
North,20813,Q1
North,26758,Q1
West,46797,Q4
East,18516,Q1
South,30256,Q1
North,44397,Q1
South,39985,Q2
West,31915,Q2
North,28541,Q1
West,22243,Q4
West,39870,Q2
West,12444,Q3
West,29767,Q3
South,49044,Q2
North,37264,Q2
East,20281,Q2
East,45597,Q3
West,10840,Q1
West,37759,Q3
East,10867,Q2
East,10040,Q3
North,49834,Q4
South,11718,Q1
West,45230,Q3
South,19499,Q4
North,13529,Q2
South,24618,Q2
South,15179,Q4
West,30126,Q1
North,30020,Q1
East,22899,Q1
North,18463,Q2
West,15900,Q1
South,12716,Q3
North,39932,Q3
East,37333,Q1
North,33119,Q4
West,15575,Q3
West,12041,Q4
South,25810,Q4
North,10603,Q2
East,37527,Q1
South,24876,Q3
North,47334,Q4
South,35030,Q3
West,17500,Q4
North,15341,Q1
East,39563,Q2
West,18313,Q1
South,37312,Q3
West,33515,Q4
North,32475,Q4
South,28087,Q1
West,29194,Q4
South,21705,Q1
West,29514,Q4
South,28278,Q3
West,17996,Q3
South,25662,Q1
East,22956,Q4
West,29813,Q3
West,11167,Q1
West,29949,Q1
East,27332,Q4
South,19215,Q3
East,12036,Q2
East,15705,Q2
West,36905,Q4
East,15850,Q1
East,11290,Q4
North,13596,Q2
South,22837,Q2
East,45897,Q2
East,46052,Q3
West,34574,Q1
South,28540,Q1
South,37783,Q2
North,44596,Q4
East,14383,Q3
South,44711,Q4
East,21396,Q4
West,18951,Q4
North,16142,Q3
West,49292,Q1
East,32557,Q3
North,10063,Q3
East,28336,Q3
East,15047,Q4
West,22121,Q1
East,35807,Q3
South,43709,Q3
North,17819,Q1
North,38142,Q3
North,42471,Q4
East,44454,Q2
West,22735,Q1
North,16008,Q4
South,41654,Q3
East,18675,Q1
East,44509,Q4
North,24531,Q1
East,12796,Q2
West,43615,Q4
South,25158,Q3
North,34532,Q2
East,24998,Q3
North,33799,Q3
South,42547,Q3
West,19233,Q3
South,40601,Q2
South,19703,Q4
South,28410,Q2
West,47613,Q1
North,43089,Q3
West,35092,Q1
South,18648,Q1
North,37801,Q2
West,32012,Q4
South,15880,Q1
South,26248,Q1
East,28327,Q4
East,15264,Q2
East,36784,Q1
West,46842,Q4
North,24388,Q4
South,32508,Q3
South,12679,Q3
South,19119,Q2
West,41843,Q3
North,15468,Q3
North,28296,Q2
North,27934,Q3
East,28956,Q1
West,31873,Q2
West,40791,Q2
South,42043,Q2
North,24561,Q4
East,11727,Q4
East,45279,Q3
West,24322,Q4
North,23393,Q3
South,28239,Q1
South,10321,Q1
North,35421,Q4
East,49585,Q4
South,29966,Q1
West,34131,Q2
North,40617,Q2
West,26706,Q4
West,21565,Q2
North,37657,Q1
South,19462,Q3
West,38041,Q2
West,18562,Q2
South,11284,Q2
North,40137,Q3
West,39017,Q1
North,28793,Q2
West,12187,Q1
West,21762,Q4
West,19383,Q2
North,30971,Q1
East,43075,Q3
North,16962,Q2
West,15026,Q2
South,33524,Q3
South,24604,Q2
North,31690,Q2
North,17277,Q4
South,23869,Q3
North,40929,Q3
North,31934,Q3
West,15414,Q2
East,44884,Q1
South,20305,Q3
South,29812,Q1
West,27886,Q2
West,44511,Q3
South,40485,Q4
South,31753,Q2
West,35964,Q4
South,46838,Q3
West,34602,Q1
North,28244,Q1
West,31522,Q3
West,30919,Q4
North,18739,Q2
East,28003,Q2
North,44423,Q2
West,25167,Q2
North,13100,Q4
East,48190,Q3
East,47047,Q4
East,44394,Q4
North,34211,Q3
West,43699,Q3
South,11830,Q1
West,38959,Q1
East,20984,Q2
South,11686,Q2
East,17157,Q3
South,35080,Q1
South,38430,Q2
North,47969,Q2
West,38382,Q2
East,30957,Q3
West,48439,Q2
North,36126,Q4
South,49345,Q2
South,27182,Q4
East,22457,Q2
West,30405,Q4
North,13643,Q2
West,48000,Q2
North,12937,Q4
South,29860,Q1
West,36287,Q3
East,27124,Q2
North,39828,Q3
North,37726,Q2
East,13829,Q4
North,24985,Q4
South,13005,Q4
East,28797,Q1
East,11851,Q3
East,23902,Q1
North,32938,Q3
West,35088,Q1
North,37107,Q1
West,41846,Q1
East,28261,Q1
North,29269,Q2
East,44973,Q4
North,37224,Q3
West,24138,Q3
North,16201,Q4
East,12709,Q2
South,34606,Q2
North,11793,Q3
South,28512,Q1
South,22529,Q1
South,33513,Q1
North,12332,Q2
West,13890,Q1
North,48177,Q1
West,30094,Q1
West,40776,Q3
East,38731,Q1
West,48957,Q1
West,40407,Q1
South,15193,Q3
East,28712,Q4
South,25849,Q4
South,48712,Q4
South,18695,Q4
West,27644,Q1
